0, "Hällås Edanius, Elisabeth", "3007036", "0523-552 12", "Göteborg", "", "/G%C3%B6teborg/H%C3%A4ll%C3%A5s_Edanius_Elisabeth/3007036", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Vegagatan+36%2c+41309%2c+G%c3%96TEBORG%2c+Sweden"
1, "Hallås Trä & Entreprenad AB", "166220", "0301-433 77", "Kungsbacka", "", "/Kungsbacka/Hall%C3%A5s_Tr%C3%A4__Entreprenad_AB/166220", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hall%c3%a5sv%c3%a4gen+329%2c+43499%2c+KUNGSBACKA%2c+Sweden"
2, "Hällåsen Sport & Vandrarhem", "1597328", "0270-100 86", "Söderhamn", "", "/S%C3%B6derhamn/H%C3%A4ll%C3%A5sen_Sport__Vandrarhem/1597328", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%a4ll%c3%a5sen+606%2c+82640%2c+S%c3%96DERHAMN%2c+Sweden"
3, "Hallåsens Måleri", "99520", "0325-331 25", "Holsljunga", "", "/Holsljunga/Hall%C3%A5sens_M%C3%A5leri/99520", "mailto:032533125@telia.com", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=F%c3%a4llhult+Hall%c3%a5sen%2c+51264%2c+HOLSLJUNGA%2c+Sweden"
4, "Hällåsens Tennishall", "2006823", "0270-128 49", "Söderhamn", "", "/S%C3%B6derhamn/H%C3%A4ll%C3%A5sens_Tennishall/2006823", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%a4ll%c3%a5sen%2c+82640%2c+S%c3%96DERHAMN%2c+Sweden"
5, "Hallask. AB", "1571793", "0490-160 34", "Västervik", "", "/V%C3%A4stervik/Hallask_AB/1571793", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=R%c3%a5dhusgatan+36%2c+59333%2c+V%c3%84STERVIK%2c+Sweden"
6, "Hällaskolan", "1106092", "0141-22 58 54", "Borensberg", "", "/Borensberg/H%C3%A4llaskolan/1106092", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=F%c3%a5gelsj%c3%b6v%c3%a4gen+2%2c+59031%2c+BORENSBERG%2c+Sweden"
7, "Hallatorpsgården", "1951634", "033-35 70 00", "Borås", "", "/Bor%C3%A5s/Hallatorpsg%C3%A5rden/1951634", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kvibergsgatan+15%2c+50467%2c+BOR%c3%85S%2c+Sweden"
8, "Hallavadets Hantverk", "998969", "033-26 22 88", "Fristad", "", "/Fristad/Hallavadets_Hantverk/998969", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Malryd+Backe+5%2c+51393%2c+FRISTAD%2c+Sweden"
9, "Hällavägen Fastighets AB", "817755", "0304-548 00", "Ellös", "", "/Ell%C3%B6s/H%C3%A4llav%C3%A4gen_Fastighets_AB/817755", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hallberg-rassyv%c3%a4gen+1%2c+47431%2c+ELL%c3%96S%2c+Sweden"
10, "Hallavångens Jordbruksförvaltning HB", "922938", "044-35 17 26", "Degeberga", "", "/Degeberga/Hallav%C3%A5ngens_Jordbruksf%C3%B6rvaltning_HB/922938", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hallav%c3%a5ngsv%c3%a4gen+102%2c+29795%2c+DEGEBERGA%2c+Sweden"
11, "Hallavara Grönt AB", "2640954", "0304-516 26", "Båstad", "", "/B%C3%A5stad/Hallavara_Gr%C3%B6nt_AB/2640954", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hallavarav%c3%a4gen+188%2c+26991%2c+B%c3%85STAD%2c+Sweden"
12, "Hallavara Smidesverkstad AB", "602907", "0431-36 51 42", "Båstad", "http://www.hallavarasmide.se", "/B%C3%A5stad/Hallavara_Smidesverkstad_AB/602907", "mailto:info@hallavarasmide.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skallah%c3%b6gsv%c3%a4gen+16%2c+26991%2c+B%c3%85STAD%2c+Sweden"
13, "Hallbäck & Gåård AB", "2823963", "", "Karlstad", "http://www.hallgaard.se", "/Karlstad/Hallb%C3%A4ck__G%C3%A5%C3%A5rd_AB/2823963", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Enebov%c3%a4gen+11%2c+65639%2c+KARLSTAD%2c+Sweden"
14, "Hallbäck AB", "973153", "042-20 88 50", "Helsingborg", "http://www.hallbacks.se", "/Helsingborg/Hallb%C3%A4ck_AB/973153", "mailto:vitvaror@hallbacks.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Planteringsv%c3%a4gen+11%2c+25230%2c+HELSINGBORG%2c+Sweden"
15, "Hallbäck Lars", "1954018", "0511-606 11", "Skövde", "", "/Sk%C3%B6vde/Hallb%C3%A4ck_Lars/1954018", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Lennart+Torstensons+Gata+16%2c+54150%2c+SK%c3%96VDE%2c+Sweden"
16, "Hallbäck Stefan Advokatfirman AB", "1377091", "040-631 51 00", "Falsterbo", "http://www.compitum.se", "/Falsterbo/Hallb%C3%A4ck_Stefan_Advokatfirman_AB/1377091", "mailto:info@compitum.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Dammsagerv%c3%a4gen+22%2c+23942%2c+FALSTERBO%2c+Sweden"
17, "Hallbäck, Anders", "378539", "", "Malmö", "", "/Malm%C3%B6/Hallb%C3%A4ck_Anders/378539", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Grynbodgatan+8%2c+21133%2c+MALM%c3%96%2c+Sweden"
18, "Hallbäck, Dan Georg", "978836", "031-25 26 83", "Göteborg", "", "/G%C3%B6teborg/Hallb%C3%A4ck_Dan_Georg/978836", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bj%c3%b6rcksgatan+44+B%2c+41652%2c+G%c3%96TEBORG%2c+Sweden"
19, "Hällbacka Bygg AB", "879700", "08-540 613 06", "Åkersberga", "", "/%C3%85kersberga/H%C3%A4llbacka_Bygg_AB/879700", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stor%c3%a4ngsv%c3%a4gen+5+C%2c+18431%2c+%c3%85KERSBERGA%2c+Sweden"
20, "Hällbacka Söderfors", "1378751", "0293-300 39", "Söderfors", "", "/S%C3%B6derfors/H%C3%A4llbacka_S%C3%B6derfors/1378751", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skolgatan+9%2c+81576%2c+S%c3%96DERFORS%2c+Sweden"
21, "Hallbackens Entreprenad", "436514", "", "Nödinge", "", "/N%C3%B6dinge/Hallbackens_Entreprenad/436514", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hallbackev%c3%a4gen+20%2c+44936%2c+N%c3%96DINGE%2c+Sweden"
22, "Hallbackens Murningstjänst S.Gustafsson", "436548", "0303-22 90 86", "Nödinge", "", "/N%C3%B6dinge/Hallbackens_Murningstj%C3%A4nst_SGustafsson/436548", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skr%c3%a4ddarns+V%c3%a4g+7%2c+44936%2c+N%c3%96DINGE%2c+Sweden"
23, "Hallbackens Redovisning AB", "851748", "", "Obbola", "", "/Obbola/Hallbackens_Redovisning_AB/851748", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hallbacksv%c3%a4gen+9%2c+91342%2c+OBBOLA%2c+Sweden"
24, "Hällbackens Sjukhem Äldreomsorg", "1720756", "0589-870 61", "Arboga", "", "/Arboga/H%C3%A4llbackens_Sjukhem_%C3%84ldreomsorg/1720756", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%a4llbacksv%c3%a4gen+1%2c+73233%2c+ARBOGA%2c+Sweden"
25, "HALLBÄCKS", "1019031", "042-248530", "Helsingborg", "http://www.hallbacks.se", "/Helsingborg/HALLB%C3%84CKS/1019031", "mailto:info@hallbacks.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Planteringsv%c3%a4gen+11%2c+25230%2c+HELSINGBORG%2c+Sweden"
