0,"Memera AB","467004","033-25 90 20","Sandared","","/Sandared/Memera_AB/467004","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+75%2c+51821%2c+SANDARED%2c+Sweden"
1,"Memes AB","327141","08-661 90 94","Stockholm","http://www.memes.se","/Stockholm/Memes_AB/327141","mailto:info@memes.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gyllenstiernsgatan+15%2c+11526%2c+STOCKHOLM%2c+Sweden"
2,"Memet, Gemal","372450","040-34 31 16","Malmö","","/Malm%C3%B6/Memet_Gemal/372450","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=V%c3%a4stra+Hindbyv%c3%a4gen+14%2c+21458%2c+MALM%c3%96%2c+Sweden"
3,"Memex L & C AB","1708336","08-661 33 10","Stockholm","","/Stockholm/Memex_L__C_AB/1708336","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Karlav%c3%a4gen+83%2c+11459%2c+STOCKHOLM%2c+Sweden"
4,"Memfis Ekonomisk Förening","2462061","","Vindeln","","/Vindeln/Memfis_Ekonomisk_F%C3%B6rening/2462061","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=J%c3%a4rnv%c3%a4gsall%c3%a9n+3%2c+92232%2c+VINDELN%2c+Sweden"
5,"Memfis Film","362094","08-33 55 76","Stockholm","","/Stockholm/Memfis_Film/362094","mailto:memfis@memfis.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
6,"Memfis Film International AB","649374","08-33 55 76","Stockholm","","/Stockholm/Memfis_Film_International_AB/649374","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
7,"Memfis Film Rights AB","339535","08-33 55 76","Stockholm","","/Stockholm/Memfis_Film_Rights_AB/339535","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
8,"Memfis Film Rights V AB","1610238","08-33 55 76","Stockholm","","/Stockholm/Memfis_Film_Rights_V_AB/1610238","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
9,"Memfis Film Rights Vi AB","770365","08-33 55 76","Stockholm","","/Stockholm/Memfis_Film_Rights_Vi_AB/770365","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
10,"Memfis Film Rights2 AB","357803","08-33 55 76","Stockholm","","/Stockholm/Memfis_Film_Rights2_AB/357803","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
11,"Memfis Film Rights3 AB","635058","08-33 55 76","Stockholm","","/Stockholm/Memfis_Film_Rights3_AB/635058","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
12,"Memfis Film Rightsiv AB","1610307","08-33 55 76","Stockholm","","/Stockholm/Memfis_Film_Rightsiv_AB/1610307","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
13,"Memfis Filmproduktion AB","539945","08-33 55 76","Stockholm","","/Stockholm/Memfis_Filmproduktion_AB/539945","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
14,"Memfis Trollywood AB","1610419","08-33 55 76","Stockholm","","/Stockholm/Memfis_Trollywood_AB/1610419","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hornsgatan+34+A%2c+11820%2c+STOCKHOLM%2c+Sweden"
15,"Memfiss HB","2837293","","Linköping","","/Link%C3%B6ping/Memfiss_HB/2837293","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=G%c3%b6tgatan+13+D%2c+58231%2c+LINK%c3%96PING%2c+Sweden"
16,"Memfive Fastigheter AB","2257324","0227-319 45","Kungsör","","/Kungs%C3%B6r/Memfive_Fastigheter_AB/2257324","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+26%2c+73621%2c+KUNGS%c3%96R%2c+Sweden"
17,"Memi HB","568407","","Eksjö","","/Eksj%C3%B6/Memi_HB/568407","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Vinkelgatan+15%2c+57537%2c+EKSJ%c3%96%2c+Sweden"
18,"Memi Utveckling AB","2674217","","Saltsjö-boo","","/Saltsj%C3%B6_boo/Memi_Utveckling_AB/2674217","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%b6ggarnsv%c3%a4gen+6%2c+13237%2c+SALTSJ%c3%96-BOO%2c+Sweden"
19,"Memic Kjellvertz, Edin","2645644","08-437 568 07","Stockholm","","/Stockholm/Memic_Kjellvertz_Edin/2645644","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Jungfrugatan+52%2c+11444%2c+STOCKHOLM%2c+Sweden"
20,"Memify AB","2767079","","Linköping","","/Link%C3%B6ping/Memify_AB/2767079","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%85gatan+55+A%2c+58222%2c+LINK%c3%96PING%2c+Sweden"
21,"Memilian AB","2295110","","Ekerö","","/Eker%C3%B6/Memilian_AB/2295110","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Parkslingan+46%2c+17851%2c+EKER%c3%96%2c+Sweden"
22,"Memils","430356","08-511 771 51","Vallentuna","","/Vallentuna/Memils/430356","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ekebydalsv%c3%a4gen+45%2c+18633%2c+VALLENTUNA%2c+Sweden"
23,"Memira","2774471","08-550 600 55","Södertälje","","/S%C3%B6dert%C3%A4lje/Memira/2774471","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+3%2c+15172%2c+S%c3%96DERT%c3%84LJE%2c+Sweden"
24,"Memira AB","423400","018-15 18 18","Uppsala","http://www.memira.se","/Uppsala/Memira_AB/423400","mailto:markus.fernlund@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Klostergatan+10%2c+75321%2c+UPPSALA%2c+Sweden"
25,"Memira AB","1899713","021-18 70 30","Västerås","http://www.memira.se","/V%C3%A4ster%C3%A5s/Memira_AB/1899713","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kopparbergsv%c3%a4gen+14%2c+72213%2c+V%c3%84STER%c3%85S%2c+Sweden"
26,"Memira AB","1899715","042-14 45 45","Helsingborg","http://www.memira.se","/Helsingborg/Memira_AB/1899715","mailto:helsingborg@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=R%c3%a5dhustorget+10%2c+25221%2c+HELSINGBORG%2c+Sweden"
27,"Memira AB","1899716","036-12 54 00","Jönköping","http://www.memira.se","/J%C3%B6nk%C3%B6ping/Memira_AB/1899716","mailto:jonkoping@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Borgm%c3%a4stargr%c3%a4nd+1+A%2c+55320%2c+J%c3%96NK%c3%96PING%2c+Sweden"
28,"Memira AB","1899717","060-15 12 00","Sundsvall","","/Sundsvall/Memira_AB/1899717","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fredsgatan+5%2c+85236%2c+SUNDSVALL%2c+Sweden"
29,"Memira AB","1899721","011-10 20 11","Norrköping","http://www.memira.se","/Norrk%C3%B6ping/Memira_AB/1899721","mailto:info@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Olai+Kyrkogata+50%2c+60232%2c+NORRK%c3%96PING%2c+Sweden"
30,"Memira AB","1899722","033-13 77 00","Borås","http://www.memira.se","/Bor%C3%A5s/Memira_AB/1899722","mailto:info@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%96sterl%c3%a5nggatan+74%2c+50337%2c+BOR%c3%85S%2c+Sweden"
31,"Memira AB","1899724","026-12 45 00","Gävle","http://www.memira.se","/G%C3%A4vle/Memira_AB/1899724","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Norra+Slottsgatan+5%2c+80320%2c+G%c3%84VLE%2c+Sweden"
32,"Memira AB","1899725","040-23 48 48","Malmö","http://www.memira.se","/Malm%C3%B6/Memira_AB/1899725","mailto:malmo@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Studentgatan+1%2c+21138%2c+MALM%c3%96%2c+Sweden"
33,"Memira AB","1899736","013-13 33 13","Linköping","http://www.memira.se","/Link%C3%B6ping/Memira_AB/1899736","mailto:info@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+28%2c+58223%2c+LINK%c3%96PING%2c+Sweden"
34,"Memira AB","2004113","016-12 30 90","Eskilstuna","","/Eskilstuna/Memira_AB/2004113","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kungsgatan+21+A%2c+63220%2c+ESKILSTUNA%2c+Sweden"
35,"Memira AB","2009447","044-12 28 80","Kristianstad","http://www.memira.se","/Kristianstad/Memira_AB/2009447","mailto:kristianstad@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=D%c3%b6belnsgatan+9%2c+29131%2c+KRISTIANSTAD%2c+Sweden"
36,"Memira AB","2014062","063-10 80 10","Östersund","http://www.memira.se","/%C3%96stersund/Memira_AB/2014062","mailto:info@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Pr%c3%a4stgatan+32%2c+83131%2c+%c3%96STERSUND%2c+Sweden"
37,"Memira AB","2018042","054-15 18 60","Karlstad","http://www.memira.se","/Karlstad/Memira_AB/2018042","mailto:karlstad@memira.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fredsgatan+3+B%2c+65225%2c+KARLSTAD%2c+Sweden"
38,"Memira AB","2024113","0522-122 10","Uddevalla","http://www.memira.se","/Uddevalla/Memira_AB/2024113","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kungsgatan+35%2c+45130%2c+UDDEVALLA%2c+Sweden"
39,"Memira AB","2040496","08-768 08 00","Täby","","/T%C3%A4by/Memira_AB/2040496","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=T%c3%a4by+Centrum%2c+18334%2c+T%c3%84BY%2c+Sweden"
40,"Memira AB","2333348","031-15 44 20","Göteborg","","/G%C3%B6teborg/Memira_AB/2333348","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Lilla+Bommen+5+B%2c+41104%2c+G%c3%96TEBORG%2c+Sweden"
